2020-06-20 14:54:27.4021 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 14:54:27

2020-06-20 14:54:27.8314 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 14:54:27

2020-06-20 14:54:27.8326 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 14:54:27

2020-06-20 14:54:30.5960 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 14:54:30

2020-06-20 14:54:30.6921 INFO (API Server) -Try to GET Editors LIST - Controller : BooksController; Actionname: GetEditors(); HTTP method : HttpGet; Time: 20.06.2020 14:54:30

2020-06-20 14:54:30.7553 INFO (API Server) - Try to GET ALL StockHistories - Controller name: StockHistoriesController; Actionname: GetBookStockHistory(); HTTP method : HttpGet; Time: 20.06.2020 14:54:30

2020-06-20 14:54:42.3830 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 14:54:42

2020-06-20 14:54:42.4919 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 14:54:42

2020-06-20 14:54:42.5064 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 14:54:42

2020-06-20 14:54:52.4448 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 14:54:52

2020-06-20 14:54:52.4645 INFO (API Server) -Try to GET Editors LIST - Controller : BooksController; Actionname: GetEditors(); HTTP method : HttpGet; Time: 20.06.2020 14:54:52

2020-06-20 14:54:52.4814 INFO (API Server) - Try to GET ALL StockHistories - Controller name: StockHistoriesController; Actionname: GetBookStockHistory(); HTTP method : HttpGet; Time: 20.06.2020 14:54:52

2020-06-20 14:58:33.3796 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 14:58:32

2020-06-20 14:58:33.5077 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 14:58:33

2020-06-20 14:58:41.1327 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 14:58:41

2020-06-20 14:58:41.5641 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 14:58:41

2020-06-20 14:58:41.5785 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 14:58:41

2020-06-20 14:59:17.4565 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 14:59:17

2020-06-20 14:59:17.5530 INFO (API Server) -Try to GET Editors LIST - Controller : BooksController; Actionname: GetEditors(); HTTP method : HttpGet; Time: 20.06.2020 14:59:17

2020-06-20 14:59:17.6320 INFO (API Server) - Try to GET ALL StockHistories - Controller name: StockHistoriesController; Actionname: GetBookStockHistory(); HTTP method : HttpGet; Time: 20.06.2020 14:59:17

2020-06-20 15:01:48.3661 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 15:01:48

2020-06-20 15:01:48.4721 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:01:48

2020-06-20 15:01:48.4939 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:01:48

2020-06-20 15:01:52.9709 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 15:01:52

2020-06-20 15:01:53.0481 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:01:53

2020-06-20 15:01:53.0635 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:01:53

2020-06-20 15:01:55.2414 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 15:01:55

2020-06-20 15:01:55.2748 INFO (API Server) -Try to GET Editors LIST - Controller : BooksController; Actionname: GetEditors(); HTTP method : HttpGet; Time: 20.06.2020 15:01:55

2020-06-20 15:01:55.2920 INFO (API Server) - Try to GET ALL StockHistories - Controller name: StockHistoriesController; Actionname: GetBookStockHistory(); HTTP method : HttpGet; Time: 20.06.2020 15:01:55

2020-06-20 15:02:27.3507 INFO (API Server) -Try to POST Edidor EditeurAVB - Controller : BooksController; Actionname: PostEditor(...); HTTP method : HttpPost; Time: 20.06.2020 15:02:27

2020-06-20 15:02:27.5260 INFO Log Information(API Server) -Try to get book 216(Id) - Controller name : BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 15:02:27

2020-06-20 15:02:27.5857 INFO (API Server) -Try to update book 216(Id) - Controller : BooksController; Actionname: Put(...); HTTP method : HttpGet; Time: 20.06.2020 15:02:27

2020-06-20 15:02:27.6390 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 15:02:27

2020-06-20 15:02:27.7246 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:02:27

2020-06-20 15:02:27.7391 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:02:27

2020-06-20 15:02:30.2703 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 15:02:30

2020-06-20 15:02:30.3014 INFO (API Server) -Try to GET Editors LIST - Controller : BooksController; Actionname: GetEditors(); HTTP method : HttpGet; Time: 20.06.2020 15:02:30

2020-06-20 15:02:30.3243 INFO (API Server) - Try to GET ALL StockHistories - Controller name: StockHistoriesController; Actionname: GetBookStockHistory(); HTTP method : HttpGet; Time: 20.06.2020 15:02:30

2020-06-20 15:02:33.2561 INFO (API Server) -Try to GET Cowriters 216(Id) - Controller : BooksController; Actionname: ManageCowriters(...); HTTP method : HttpGet; Time: 20.06.2020 15:02:33

2020-06-20 15:02:35.8320 INFO Log Information(API Server) -Try to get book 216(Id) - Controller name : BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 15:02:35

2020-06-20 15:02:35.8596 INFO (API Server) -Try to GET Authors LIST - Controller : BooksController; Actionname: GetAuthors(...); HTTP method : HttpGet; Time: 20.06.2020 15:02:35

2020-06-20 15:02:39.7393 INFO (API Server) -Try to POST Cowriter 11 (Id)  for book 216(Id) - Controller : BooksController; Actionname: PostCowriter(...); HTTP method : HttpPost; Time: 20.06.2020 15:02:39

2020-06-20 15:02:39.7847 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 15:02:39

2020-06-20 15:02:41.8883 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:02:41

2020-06-20 15:02:41.9173 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:02:41

2020-06-20 15:03:18.6856 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 15:03:18

2020-06-20 15:03:18.7191 INFO (API Server) -Try to GET Editors LIST - Controller : BooksController; Actionname: GetEditors(); HTTP method : HttpGet; Time: 20.06.2020 15:03:18

2020-06-20 15:03:18.7472 INFO (API Server) - Try to GET ALL StockHistories - Controller name: StockHistoriesController; Actionname: GetBookStockHistory(); HTTP method : HttpGet; Time: 20.06.2020 15:03:18

2020-06-20 15:03:27.0249 INFO (API Server) -Try to update book 216(Id) - Controller : BooksController; Actionname: Put(...); HTTP method : HttpGet; Time: 20.06.2020 15:03:27

2020-06-20 15:03:27.0632 INFO (API Server) -Try to POST StockHistory 0 (Id) - Controller : StockHistoriesController; Actionname: PostStockHistory(...); HTTP method : HttpPost; Time: 20.06.2020 15:03:27

2020-06-20 15:03:27.1436 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:03:27

2020-06-20 15:03:27.1449 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:03:27

2020-06-20 15:03:27.1796 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 15:03:27

2020-06-20 15:04:52.0465 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 15:04:52

2020-06-20 15:05:01.8071 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:05:01

2020-06-20 15:05:01.8217 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:05:01

2020-06-20 15:05:04.3890 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 15:05:04

2020-06-20 15:05:04.4272 INFO (API Server) -Try to GET Editors LIST - Controller : BooksController; Actionname: GetEditors(); HTTP method : HttpGet; Time: 20.06.2020 15:05:04

2020-06-20 15:05:04.4468 INFO (API Server) - Try to GET ALL StockHistories - Controller name: StockHistoriesController; Actionname: GetBookStockHistory(); HTTP method : HttpGet; Time: 20.06.2020 15:05:04

2020-06-20 15:05:15.6178 INFO (API Server) -Try to update book 216(Id) - Controller : BooksController; Actionname: Put(...); HTTP method : HttpGet; Time: 20.06.2020 15:05:15

2020-06-20 15:05:15.6423 INFO (API Server) -Try to POST StockHistory 0 (Id) - Controller : StockHistoriesController; Actionname: PostStockHistory(...); HTTP method : HttpPost; Time: 20.06.2020 15:05:15

2020-06-20 15:05:15.6775 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:05:15

2020-06-20 15:05:15.6926 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:05:15

2020-06-20 15:05:15.7085 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 15:05:15

2020-06-20 15:08:27.1140 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:08:26

2020-06-20 15:08:27.2463 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:08:27

2020-06-20 15:08:31.7309 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 15:08:31

2020-06-20 15:08:32.1586 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:08:32

2020-06-20 15:08:32.1731 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:08:32

2020-06-20 15:08:35.2302 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 15:08:35

2020-06-20 15:08:35.3271 INFO (API Server) -Try to GET Editors LIST - Controller : BooksController; Actionname: GetEditors(); HTTP method : HttpGet; Time: 20.06.2020 15:08:35

2020-06-20 15:08:35.3915 INFO (API Server) - Try to GET ALL StockHistories - Controller name: StockHistoriesController; Actionname: GetBookStockHistory(); HTTP method : HttpGet; Time: 20.06.2020 15:08:35

2020-06-20 15:11:23.9360 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 15:11:23

2020-06-20 15:11:31.8942 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:11:31

2020-06-20 15:11:31.9228 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:11:31

2020-06-20 15:12:39.1308 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:12:38

2020-06-20 15:12:39.2639 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:12:39

2020-06-20 15:12:42.6924 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 15:12:42

2020-06-20 15:12:43.1187 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:12:43

2020-06-20 15:12:43.1329 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:12:43

2020-06-20 15:12:46.1898 INFO (API Server) -Try to GET book 216(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 15:12:46

2020-06-20 15:12:46.2903 INFO (API Server) -Try to GET Editors LIST - Controller : BooksController; Actionname: GetEditors(); HTTP method : HttpGet; Time: 20.06.2020 15:12:46

2020-06-20 15:12:46.3543 INFO (API Server) - Try to GET ALL StockHistories - Controller name: StockHistoriesController; Actionname: GetBookStockHistory(); HTTP method : HttpGet; Time: 20.06.2020 15:12:46

2020-06-20 15:15:53.5355 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:15:53

2020-06-20 15:15:53.6842 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:15:53

2020-06-20 15:15:57.1397 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 15:15:57

2020-06-20 15:15:57.5762 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 15:15:57

2020-06-20 15:15:57.5911 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 15:15:57

2020-06-20 15:18:15.4833 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 15:18:15

