2020-06-22 14:52:13.5758 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:52:13

2020-06-22 14:52:13.7650 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:52:13

2020-06-22 14:52:46.1266 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:52:44

2020-06-22 14:52:46.3750 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:52:46

2020-06-22 14:52:52.5151 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 14:52:52

2020-06-22 14:53:18.8832 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:53:18

2020-06-22 14:53:18.9666 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:53:18

2020-06-22 14:53:24.9596 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:53:24

2020-06-22 14:53:25.2593 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:53:25

2020-06-22 14:53:41.9731 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:53:41

2020-06-22 14:53:42.3138 INFO Log Information(API Server) -Try to POST Review 0(Id) - Controller : ReviewsController; Actionname: PostReview(...); HTTP method : HttpPost; Time: 22.06.2020 14:53:42


2020-06-22 14:53:42.7774 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:53:42

2020-06-22 14:53:42.8131 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:53:42

2020-06-22 14:57:38.7514 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:57:37

2020-06-22 14:57:39.0520 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:57:39

2020-06-22 14:57:45.3776 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 14:57:45

2020-06-22 14:58:11.7851 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:58:11

2020-06-22 14:58:11.8388 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:58:11

2020-06-22 14:58:18.0719 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:58:18

2020-06-22 14:58:18.4322 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:58:18

